prompt_tokens,repetition,chunk_index,preceding_evaluated_tokens,new_tokens,full_chunk,attention_ms,mlp_matmul_ms,other_quantized_matmul_ms,mlp_activation_ms,attention_ms_per_new_token,mlp_matmul_ms_per_new_token
128,1,1,0,104,False,0.859842,13.571846,3.744916,1.104452,0.008267711538461538,0.13049851923076924
128,2,1,0,104,False,0.860772,13.612332,3.732217,1.104868,0.008276653846153847,0.1308878076923077
256,1,1,0,232,False,1.050857,27.923589,6.192351,2.425202,0.004529556034482758,0.1203602974137931
256,2,1,0,232,False,1.051274,27.891405,6.183713,2.426347,0.004531353448275862,0.12022157327586207
512,1,1,0,486,False,2.386643,57.13433,10.563876,5.0089,0.0049107880658436215,0.11756034979423868
512,2,1,0,486,False,2.424878,58.032433,10.770213,5.010341,0.0049894609053497945,0.11940829835390945
768,1,1,0,744,False,4.141213,84.083101,13.812102,7.574966,0.005566146505376343,0.11301492069892473
768,2,1,0,744,False,4.144096,84.250696,13.815493,7.576696,0.005570021505376345,0.11324018279569893
1024,1,1,0,1000,False,6.814421,115.673767,18.841485,10.18017,0.006814421,0.115673767
1024,2,1,0,1000,False,6.865906,116.400284,18.990413,10.18648,0.006865906,0.11640028399999999
1536,1,1,0,1024,True,5.3706,115.260544,18.861625,10.423505,0.0052447265625,0.112559125
1536,1,2,1024,488,False,4.981829,59.00167,11.004375,5.033675,0.010208665983606558,0.12090506147540983
1536,2,1,0,1024,True,5.263748,115.337259,18.902546,10.416722,0.00514037890625,0.1126340419921875
1536,2,2,1024,488,False,4.973578,58.689168,10.95669,5.016743,0.010191758196721312,0.12026468852459017
2048,1,1,0,1024,True,5.283657,114.650933,18.676234,10.431765,0.0051598212890625,0.1119638017578125
2048,1,2,1024,1000,False,12.273314,116.619038,19.077786,10.182802,0.012273313999999999,0.11661903800000001
2048,2,1,0,1024,True,5.306314,115.176823,18.841293,10.425679,0.005181947265625,0.1124773662109375
2048,2,2,1024,1000,False,12.281852,116.56775,19.073006,10.181803,0.012281852000000001,0.11656775
3072,1,1,0,1024,True,5.284489,115.073148,18.852906,10.407628,0.0051606337890625,0.11237612109375
3072,1,2,1024,1024,True,11.244308,116.795563,19.146358,10.415754,0.01098076953125,0.1140581669921875
3072,1,3,2048,1000,False,17.630116,116.774696,19.123094,10.184587,0.017630116,0.11677469600000001
3072,2,1,0,1024,True,5.256394,114.884681,18.7557,10.434667,0.005133197265625,0.1121920712890625
3072,2,2,1024,1024,True,11.228085,116.620282,19.116137,10.425071,0.0109649267578125,0.113886994140625
3072,2,3,2048,1000,False,17.642567,116.69187,19.095286,10.171437,0.017642567,0.11669186999999999
4096,1,1,0,1024,True,5.329386,114.868439,18.819479,10.424816,0.005204478515625,0.1121762099609375
4096,1,2,1024,1024,True,11.260344,116.66985,19.150451,10.4252,0.0109964296875,0.113935400390625
4096,1,3,2048,1024,True,16.944226,116.801985,19.156816,10.42872,0.016547095703125,0.1140644384765625
4096,1,4,3072,1000,False,23.039955,117.542952,19.233304,10.166796,0.023039954999999997,0.117542952
4096,2,1,0,1024,True,5.29115,115.066174,18.80642,10.418289,0.005167138671875,0.112369310546875
4096,2,2,1024,1024,True,11.243895,116.547718,19.100539,10.428945,0.0109803662109375,0.113816130859375
4096,2,3,2048,1024,True,16.924802,116.773035,19.1365,10.416146,0.016528126953125,0.1140361669921875
4096,2,4,3072,1000,False,22.949869,117.254192,19.176639,10.175247,0.022949869,0.11725419200000001
8192,1,1,0,1024,True,5.264135,115.422708,18.841873,10.431991,0.0051407568359375,0.11271748828125
8192,1,2,1024,1024,True,11.276087,116.66921,19.109045,10.42818,0.0110118037109375,0.113934775390625
8192,1,3,2048,1024,True,17.006825,116.892571,19.137601,10.415506,0.0166082275390625,0.1141529013671875
8192,1,4,3072,1024,True,23.230712,117.038849,19.171609,10.422579,0.0226862421875,0.1142957509765625
8192,1,5,4096,1024,True,30.021231,119.863151,19.577453,10.418356,0.0293176083984375,0.1170538583984375
8192,1,6,5120,1024,True,35.448826,117.845545,19.305617,10.427057,0.034617994140625,0.1150835400390625
8192,1,7,6144,1024,True,41.570663,117.657098,19.287733,10.422706,0.0405963505859375,0.114899509765625
8192,1,8,7168,1000,False,44.279196,118.433935,19.370554,10.179281,0.044279196,0.118433935
8192,2,1,0,1024,True,5.354607,115.752021,18.928734,10.427032,0.0052291083984375,0.1130390830078125
8192,2,2,1024,1024,True,11.292576,117.607684,19.256743,10.417627,0.01102790625,0.11485125390625
8192,2,3,2048,1024,True,17.142162,117.54128,19.261544,10.423159,0.016740392578125,0.11478640625
8192,2,4,3072,1024,True,23.311015,117.903717,19.298372,10.427001,0.0227646630859375,0.1151403486328125
8192,2,5,4096,1024,True,29.796824,119.102927,19.478788,10.426264,0.0290984609375,0.1163114521484375
8192,2,6,5120,1024,True,35.441294,117.722788,19.279171,10.418711,0.034610638671875,0.11496366015625
8192,2,7,6144,1024,True,41.442175,117.76282,19.292453,10.419285,0.0404708740234375,0.11500275390625
8192,2,8,7168,1000,False,44.416923,118.448195,19.394943,10.179797,0.044416923,0.11844819499999999
16384,1,1,0,1024,True,5.366065,115.466221,18.918859,10.421945,0.0052402978515625,0.1127599814453125
16384,1,2,1024,1024,True,11.35005,117.79437,19.282091,10.429945,0.011084033203125,0.115033564453125
16384,1,3,2048,1024,True,17.121812,117.651807,19.286564,10.427134,0.01672051953125,0.1148943427734375
16384,1,4,3072,1024,True,23.307625,117.612505,19.277157,10.413086,0.0227613525390625,0.1148559619140625
16384,1,5,4096,1024,True,30.114405,119.881458,19.610735,10.414489,0.0294085986328125,0.117071736328125
16384,1,6,5120,1024,True,35.555031,117.852157,19.305828,10.434462,0.0347217099609375,0.1150899970703125
16384,1,7,6144,1024,True,41.735564,118.48592,19.431541,10.418878,0.04075738671875,0.11570890625
16384,1,8,7168,1024,True,47.791045,118.531795,19.399592,10.430776,0.0466709423828125,0.1157537060546875
16384,1,9,8192,1024,True,53.876443,118.315822,19.387532,10.427457,0.0526137138671875,0.115542794921875
16384,1,10,9216,1024,True,60.283601,119.119513,19.486537,10.413114,0.0588707041015625,0.1163276494140625
16384,1,11,10240,1024,True,66.190917,118.826681,19.448799,10.421848,0.0646395673828125,0.1160416806640625
16384,1,12,11264,1024,True,72.247036,118.938743,19.49473,10.414011,0.07055374609375,0.1161511162109375
16384,1,13,12288,1024,True,78.314801,118.935156,19.470196,10.426303,0.0764792978515625,0.11614761328125
16384,1,14,13312,1024,True,84.212998,119.19679,19.532083,10.423965,0.082239255859375,0.116403115234375
16384,1,15,14336,1024,True,89.918711,119.501596,19.544016,10.426367,0.0878112412109375,0.11670077734375
16384,1,16,15360,1000,False,88.139755,120.705863,19.693586,10.184856,0.088139755,0.120705863
16384,2,1,0,1024,True,5.351856,115.313937,18.891405,10.419872,0.005226421875,0.1126112666015625
16384,2,2,1024,1024,True,11.375596,117.874631,19.30347,10.420282,0.01110898046875,0.1151119443359375
16384,2,3,2048,1024,True,17.054388,117.614476,19.274742,10.420833,0.01665467578125,0.11485788671875
16384,2,4,3072,1024,True,23.369329,117.647787,19.276792,10.420642,0.0228216103515625,0.1148904169921875
16384,2,5,4096,1024,True,30.265943,121.178665,19.806284,10.424989,0.0295565849609375,0.1183385400390625
16384,2,6,5120,1024,True,35.586819,118.69496,19.431957,10.427292,0.0347527529296875,0.115913046875
16384,2,7,6144,1024,True,41.663135,118.054345,19.321735,10.420347,0.0406866552734375,0.1152874462890625
16384,2,8,7168,1024,True,47.872309,118.42204,19.38235,10.434686,0.0467503017578125,0.1156465234375
16384,2,9,8192,1024,True,54.267028,119.180674,19.493074,10.423747,0.05299514453125,0.116387376953125
16384,2,10,9216,1024,True,60.55441,119.775816,19.63669,10.427166,0.059135166015625,0.1169685703125
16384,2,11,10240,1024,True,66.142016,118.731583,19.46021,10.418342,0.0645918125,0.1159488115234375
